;def;genes;proportion;significant_area;#_cases;#_controls;pvalue_proportion;pvalue_significant_area;fdr_sig_area;fdr_proportion
817;SNV;BCORL1;0.3225;0.3136;30;441;0.00171182714064356;0.0065529458993709;0.0350729901210848;0.0109132503152281
14;SNV;CSMD3;0.3188;0.3134;93;378;0.00202170554536521;0.00658633632381425;0.0350729901210848;0.0114771407444723
264;SNV;CHD6;0.3152;0.3134;43;428;0.00237394772457018;0.00658633632381425;0.0350729901210848;0.0120717767270697
503;SNV;CARD11;0.3145;0.3134;35;436;0.00244889495457321;0.00658633632381425;0.0350729901210848;0.0121681059073388
1440;SNV;FOXG1;0.3147;0.3134;25;446;0.00242725522281888;0.00658633632381425;0.0350729901210848;0.0121681059073388
640;SNV;TRIO;0.3244;0.3133;33;438;0.00157084999359211;0.00660309010647715;0.0350729901210848;0.0109006248724322
617;SNV;KIAA0556;0.3131;0.3132;33;438;0.00260558279368662;0.00661988304580271;0.0350729901210848;0.0123558390414901
789;SNV;TANC2;0.3085;0.3132;31;440;0.00319009179225426;0.00661988304580271;0.0350729901210848;0.0131002051262675
78;SNV;TRPS1;0.3209;0.3131;59;412;0.00183982466242212;0.00663671522425566;0.0350729901210848;0.0110767654692386
2088;SNV;TNPO3;0.3202;0.3131;22;449;0.00189864619218303;0.00663671522425566;0.0350729901210848;0.0111219715669545
330;SNV;UTRN;0.3198;0.313;41;430;0.0019330582359445;0.00665358672445173;0.0350729901210848;0.0112600531332356
413;SNV;SLITRK2;0.3173;0.313;38;433;0.00216196432894408;0.00665358672445173;0.0350729901210848;0.0116633974833015
618;SNV;KIAA1549;0.3251;0.313;33;438;0.00152176000054131;0.00665358672445173;0.0350729901210848;0.010809320094371
110;SNV;TNXB;0.3125;0.3129;54;417;0.00267560728318725;0.00667049762915775;0.0350729901210848;0.0123928321837549
1723;SNV;AHRR;0.3095;0.3129;23;448;0.00305333202500323;0.00667049762915775;0.0350729901210848;0.012983532858585
1964;SNV;CSPP1;0.3134;0.3129;22;449;0.00257122616552677;0.00667049762915775;0.0350729901210848;0.0123558390414901
385;SNV;PLXND1;0.3176;0.3126;39;432;0.00213319224964727;0.00672146760027643;0.0350729901210848;0.0116135067805398
1116;SNV;ABCB11;0.3078;0.3126;27;444;0.00328925203764407;0.00672146760027643;0.0350729901210848;0.013195165671482
426;SNV;FER1L6;0.3108;0.3125;37;434;0.00288383295487957;0.00673853695372209;0.0350729901210848;0.0126465335085544
1198;SNV;PPP1R9A;0.316;0.3125;27;444;0.00229096271499339;0.00673853695372209;0.0350729901210848;0.0119550237747472
118;SNV;TENM4;0.3154;0.3121;53;418;0.0023529377319501;0.00680721341124935;0.0350729901210848;0.0120717767270697
534;SNV;SCAF4;0.3214;0.3121;35;436;0.00179887670456388;0.00680721341124935;0.0350729901210848;0.0110736432602935
997;SNV;TEP1;0.3204;0.3121;29;442;0.00188165974079953;0.00680721341124935;0.0350729901210848;0.0110767654692386
1336;SNV;PDS5B;0.3265;0.3121;26;445;0.00142793835614333;0.00680721341124935;0.0350729901210848;0.0107289019886641
950;SNV;HTR1F;0.3218;0.3119;29;442;0.00176674516318631;0.00684179224150494;0.0350729901210848;0.0109961482812898
1299;SNV;ITGB4;0.3253;0.3119;26;445;0.00150800548662194;0.00684179224150494;0.0350729901210848;0.010790817703672
1430;SNV;EIF4G1;0.3237;0.3119;25;446;0.00162144901339322;0.00684179224150494;0.0350729901210848;0.0109006248724322
1605;SNV;DHX16;0.3229;0.3119;24;447;0.00168118022248756;0.00684179224150494;0.0350729901210848;0.0109132503152281
326;SNV;PTPRC;0.3079;0.3117;41;430;0.00327490985407208;0.00687653237185807;0.0350729901210848;0.0131768258438254
1147;SNV;FAM73A;0.3152;0.3117;27;444;0.00237394772457018;0.00687653237185807;0.0350729901210848;0.0120717767270697
1081;SNV;NEUROD4;0.3145;0.3115;28;443;0.00244889495457321;0.00691143447971078;0.0350729901210848;0.0121681059073388
1298;SNV;IKBKAP;0.3142;0.3114;26;445;0.00248169839180628;0.00692894648756238;0.0350729901210848;0.0121791769125606
25;SNV;FAT3;0.3117;0.3113;83;388;0.00277175392482525;0.0069464992449335;0.0350729901210848;0.0125779966688989
484;SNV;MBD6;0.3224;0.3113;36;435;0.00171957169547296;0.0069464992449335;0.0350729901210848;0.0109132503152281
406;SNV;KIF21A;0.3183;0.3112;38;433;0.00206746729449922;0.00696409283719485;0.0350729901210848;0.0115180578877696
20;SNV;DNAH11;0.3194;0.3111;87;384;0.00196806369209196;0.00698172734987226;0.0350729901210848;0.0112797895062345
1849;SNV;PCNXL3;0.3193;0.311;23;448;0.00197690889775763;0.00699940286864695;0.0350729901210848;0.0113033786259348
126;SNV;COL5A1;0.317;0.3109;51;420;0.00219110525245474;0.00701711947935577;0.0350729901210848;0.0117153054885164
499;SNV;ADAMTSL1;0.307;0.3109;35;436;0.00340614779446106;0.00701711947935577;0.0350729901210848;0.0132800868332169
1963;SNV;CSPG4;0.3114;0.3109;22;449;0.0028086465283132;0.00701711947935577;0.0350729901210848;0.0125874802337849
335;SNV;DOCK3;0.3113;0.3105;40;431;0.00282104718355569;0.00708839856372869;0.0350729901210848;0.0125874802337849
812;SNV;ARAP1;0.3145;0.3105;30;441;0.00244889495457321;0.00708839856372869;0.0350729901210848;0.0121681059073388
523;SNV;MYH13;0.3143;0.3104;35;436;0.00247071782640257;0.00710632192712335;0.0350729901210848;0.0121752899074271
253;SNV;MYO18B;0.3153;0.3103;44;427;0.00236342054678796;0.00712428690075382;0.0350729901210848;0.0120717767270697
1063;SNV;KCNC1;0.3114;0.3103;28;443;0.0028086465283132;0.00712428690075382;0.0350729901210848;0.0125874802337849
1448;SNV;HSPA2;0.3176;0.3103;25;446;0.00213319224964727;0.00712428690075382;0.0350729901210848;0.0116135067805398
771;SNV;OTUD4;0.3197;0.3102;31;440;0.00194175359529371;0.00714229357155258;0.0350729901210848;0.0112600531332356
1117;SNV;ABCC1;0.3131;0.3102;27;444;0.00260558279368662;0.00714229357155258;0.0350729901210848;0.0123558390414901
180;SNV;TEX15;0.3204;0.3101;48;423;0.00188165974079953;0.0071603420266095;0.0350729901210848;0.0110767654692386
1819;SNV;MYOM3;0.3154;0.31;23;448;0.0023529377319501;0.00717843235317213;0.0350729901210848;0.0120717767270697
36;SNV;DMD;0.3027;0.3099;73;398;0.00410476131652926;0.00719656463864587;0.0350729901210848;0.0144482762098747
417;SNV;VPS13D;0.3225;0.3099;38;433;0.00171182714064356;0.00719656463864587;0.0350729901210848;0.0109132503152281
598;SNV;BRWD1;0.3247;0.3099;33;438;0.00154962914777257;0.00719656463864587;0.0350729901210848;0.0108292797168902
1746;SNV;C11orf30;0.3215;0.3099;23;448;0.00179079200456751;0.00719656463864587;0.0350729901210848;0.0110736432602935
1958;SNV;CILP;0.3113;0.3099;22;449;0.00282104718355569;0.00719656463864587;0.0350729901210848;0.0125874802337849
1569;SNV;ALPK1;0.3194;0.3098;24;447;0.00196806369209196;0.00721473897059421;0.0350729901210848;0.0112797895062345
300;SNV;MED12L;0.3127;0.3096;42;429;0.00265206974992647;0.00725121412496059;0.0350729901210848;0.0123621652544634
1242;SNV;ASCC3;0.3066;0.3095;26;445;0.00346605865729492;0.00726951512329814;0.0350729901210848;0.0134043368785354
437;SNV;NF1;0.318;0.3093;37;434;0.00209539567670428;0.00730624440327282;0.0350729901210848;0.0115925825632482
767;SNV;NOTCH3;0.308;0.3092;31;440;0.003260626858978;0.0073246728617842;0.0350729901210848;0.0131768258438254
